uniqueid,forecasting,tool_tip,node_name,Category,delta,08-2010,Monthly,,,,,,,,,,,,,,,,
Hyundai_ix35_4WD_Adelaide_Radio_FIVEAA_Metropolitan_Radio,,4WD_Adelaide_Radio_FIVEAA,4WD_Adelaide_Radio_FIVEAA,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Adelaide:Radio,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Hyundai_ix35_4WD_Adelaide_Radio_5MMM_Metropolitan_Radio,,4WD_Adelaide_Radio_5MMM,4WD_Adelaide_Radio_5MMM,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Adelaide:Radio,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Hyundai_ix35_4WD_Adelaide_Television_SAS7_Metropolitan_Television,,4WD_Adelaide_Television_SAS7,4WD_Adelaide_Television_SAS7,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Adelaide:Television,0.5,0,0,15,12,19,10,0,0,1,0,0,0,2,4,6,12,0,0
Hyundai_ix35_4WD_Adelaide_Television_NWS9_Metropolitan_Television,,4WD_Adelaide_Television_NWS9,4WD_Adelaide_Television_NWS9,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Adelaide:Television,0.5,0,0,11,7,18,5,0,0,7,0,0,0,0,0,0,0,0,0
Hyundai_ix35_4WD-Retail_Adelaide_Television_SBSADL_Metropolitan_Television,,4WDRetail_Adelaide_Television_SBSADL,4WDRetail_Adelaide_Television_SBSADL,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Adelaide:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai_ix35_4WD-Retail_Adelaide_Television_7Mate_ADE_Metropolitan_Television,,4WDRetail_Adelaide_Television_7Mate_ADE,4WDRetail_Adelaide_Television_7Mate_ADE,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Adelaide:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai_ix35_4WD_Adelaide_Radio_NOVA_91.9_Metropolitan_Radio,,4WD_Adelaide_Radio_NOVA_91.9,4WD_Adelaide_Radio_NOVA_91.9,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Adelaide:Radio,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Hyundai_ix35_4WD_Adelaide_Television_GEM_ADE_Metropolitan_Television,,4WD_Adelaide_Television_GEM_ADE,4WD_Adelaide_Television_GEM_ADE,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Adelaide:Television,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai_ix35_Santa_Fe_4WD-Retail_Adelaide_Television_SAS7_Metropolitan_Television,,Santa_Fe_4WDRetail_Adelaide_Television_SAS7,Santa_Fe_4WDRetail_Adelaide_Television_SAS7,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Adelaide:Television,0.5,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai_ix35_4WD_Adelaide_Television_7Mate_ADE_Metropolitan_Television,,4WD_Adelaide_Television_7Mate_ADE,4WD_Adelaide_Television_7Mate_ADE,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Adelaide:Television,0.5,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai_ix35_4WD_Perth_Television_GO_PER_Metropolitan_Television,,4WD_Perth_Television_GO_PER,4WD_Perth_Television_GO_PER,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Perth:Television,0.5,0,0,1,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0
Hyundai_ix35_4WD-Retail_Perth_Television_7TWO_PER_Metropolitan_Television,,4WDRetail_Perth_Television_7TWO_PER,4WDRetail_Perth_Television_7TWO_PER,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Perth:Television,0.5,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
Hyundai_ix35_4WD-Retail_Perth_Radio_6PR_Metropolitan_Radio,,4WDRetail_Perth_Radio_6PR,4WDRetail_Perth_Radio_6PR,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Perth:Radio,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0
Hyundai_ix35_4WD-Retail_Perth_Television_TVW7_Metropolitan_Television,,4WDRetail_Perth_Television_TVW7,4WDRetail_Perth_Television_TVW7,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Perth:Television,0.5,3,0,0,0,0,0,15,7,0,0,0,0,7,6,0,5,4,0
Hyundai_ix35_4WD-Retail_Perth_Television_SBSPER_Metropolitan_Television,,4WDRetail_Perth_Television_SBSPER,4WDRetail_Perth_Television_SBSPER,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Perth:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai_ix35_4WD_Perth_Television_7Mate_PER_Metropolitan_Television,,4WD_Perth_Television_7Mate_PER,4WD_Perth_Television_7Mate_PER,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Perth:Television,0.5,0,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Hyundai_ix35_4WD-Retail_Perth_Radio_NOVA_93.7_Metropolitan_Radio,,4WDRetail_Perth_Radio_NOVA_93.7,4WDRetail_Perth_Radio_NOVA_93.7,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Perth:Radio,0.5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
Hyundai_ix35_Santa_Fe_4WD-Retail_Perth_Television_7TWO_PER_Metropolitan_Television,,Santa_Fe_4WDRetail_Perth_Television_7TWO_PER,Santa_Fe_4WDRetail_Perth_Television_7TWO_PER,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Perth:Television,0.5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai_ix35_Santa_Fe_4WD-Retail_Perth_Television_NEW10_Metropolitan_Television,,Santa_Fe_4WDRetail_Perth_Television_NEW10,Santa_Fe_4WDRetail_Perth_Television_NEW10,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Perth:Television,0.5,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai_ix35_Santa_Fe_4WD-Retail_Perth_Television_7Mate_PER_Metropolitan_Television,,Santa_Fe_4WDRetail_Perth_Television_7Mate_PER,Santa_Fe_4WDRetail_Perth_Television_7Mate_PER,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Perth:Television,0.5,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai_ix35_4WD-Retail_Perth_Television_GEM_PER_Metropolitan_Television,,4WDRetail_Perth_Television_GEM_PER,4WDRetail_Perth_Television_GEM_PER,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Perth:Television,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Hyundai_ix35_4WD_Perth_Radio_NOVA_93.7_Metropolitan_Radio,,4WD_Perth_Radio_NOVA_93.7,4WD_Perth_Radio_NOVA_93.7,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Perth:Radio,0.5,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
Hyundai_ix35_4WD-Retail_Perth_Television_7Mate_PER_Metropolitan_Television,,4WDRetail_Perth_Television_7Mate_PER,4WDRetail_Perth_Television_7Mate_PER,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Perth:Television,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Hyundai_ix35_4WD-Retail_Perth_Television_STW9_Metropolitan_Television,,4WDRetail_Perth_Television_STW9,4WDRetail_Perth_Television_STW9,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Perth:Television,0.5,2,0,0,0,0,0,8,18,0,0,0,0,3,4,0,7,3,4
Hyundai_ix35_4WD_Perth_Television_TVW7_Metropolitan_Television,,4WD_Perth_Television_TVW7,4WD_Perth_Television_TVW7,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Perth:Television,0.5,0,0,14,19,24,16,0,0,11,0,0,0,2,4,5,10,0,0
Hyundai_ix35_4WD_Perth_Television_NEW10_Metropolitan_Television,,4WD_Perth_Television_NEW10,4WD_Perth_Television_NEW10,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Perth:Television,0.5,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0
Hyundai_ix35_4WD-Retail_Perth_Radio_96fm_Metropolitan_Radio,,4WDRetail_Perth_Radio_96fm,4WDRetail_Perth_Radio_96fm,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Perth:Radio,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Hyundai_ix35_4WD-Retail_Perth_Television_GO_PER_Metropolitan_Television,,4WDRetail_Perth_Television_GO_PER,4WDRetail_Perth_Television_GO_PER,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Perth:Television,0.5,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
Hyundai_ix35_4WD_Perth_Television_GEM_PER_Metropolitan_Television,,4WD_Perth_Television_GEM_PER,4WD_Perth_Television_GEM_PER,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Perth:Television,0.5,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Hyundai_ix35_Santa_Fe_4WD-Retail_Perth_Television_GO_PER_Metropolitan_Television,,Santa_Fe_4WDRetail_Perth_Television_GO_PER,Santa_Fe_4WDRetail_Perth_Television_GO_PER,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Perth:Television,0.5,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai_ix35_4WD_Perth_Television_7TWO_PER_Metropolitan_Television,,4WD_Perth_Television_7TWO_PER,4WD_Perth_Television_7TWO_PER,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Perth:Television,0.5,0,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0
Hyundai_ix35_Santa_Fe_4WD-Retail_Perth_Television_STW9_Metropolitan_Television,,Santa_Fe_4WDRetail_Perth_Television_STW9,Santa_Fe_4WDRetail_Perth_Television_STW9,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Perth:Television,0.5,0,0,0,2,13,8,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai_ix35_4WD_Perth_Television_STW9_Metropolitan_Television,,4WD_Perth_Television_STW9,4WD_Perth_Television_STW9,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Perth:Television,0.5,0,0,6,13,13,15,0,1,21,0,0,0,0,0,0,0,0,0
Hyundai_ix35_4WD-Retail_Perth_Television_NEW10_Metropolitan_Television,,4WDRetail_Perth_Television_NEW10,4WDRetail_Perth_Television_NEW10,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Perth:Television,0.5,0,0,0,0,0,0,5,6,0,0,0,0,0,3,0,2,0,1
Hyundai_ix35_Santa_Fe_4WD-Retail_Perth_Television_TVW7_Metropolitan_Television,,Santa_Fe_4WDRetail_Perth_Television_TVW7,Santa_Fe_4WDRetail_Perth_Television_TVW7,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Perth:Television,0.5,0,0,0,8,11,2,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai_ix35_4WD-Retail_Perth_Radio_94.5_FM_Metropolitan_Radio,,4WDRetail_Perth_Radio_94.5_FM,4WDRetail_Perth_Radio_94.5_FM,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Perth:Radio,0.5,0,0,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0
Hyundai_ix35_4WD-Retail_Brisbane_Television_TVQ10_Metropolitan_Television,,4WDRetail_Brisbane_Television_TVQ10,4WDRetail_Brisbane_Television_TVQ10,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Brisbane:Television,0.5,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0
Hyundai_ix35_4WD-Retail_Brisbane_Television_SBSBRI_Metropolitan_Television,,4WDRetail_Brisbane_Television_SBSBRI,4WDRetail_Brisbane_Television_SBSBRI,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Brisbane:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai_ix35_4WD_Brisbane_Radio_B105FM_Metropolitan_Radio,,4WD_Brisbane_Radio_B105FM,4WD_Brisbane_Radio_B105FM,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Brisbane:Radio,0.5,0,0,0,0,0,0,0,0,0,0,0,8,5,4,1,0,0,0
Hyundai_ix35_4WD_Brisbane_Television_GEM_BRIS_Metropolitan_Television,,4WD_Brisbane_Television_GEM_BRIS,4WD_Brisbane_Television_GEM_BRIS,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Brisbane:Television,0.5,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai_ix35_Santa_Fe_4WD-Retail_Brisbane_Television_QTQ9_Metropolitan_Television,,Santa_Fe_4WDRetail_Brisbane_Television_QTQ9,Santa_Fe_4WDRetail_Brisbane_Television_QTQ9,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Brisbane:Television,0.5,0,0,0,3,38,20,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai_ix35_4WD_Brisbane_Television_QTQ9_Metropolitan_Television,,4WD_Brisbane_Television_QTQ9,4WD_Brisbane_Television_QTQ9,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Brisbane:Television,0.5,0,0,13,19,44,15,0,1,15,0,0,0,0,0,0,0,0,0
Hyundai_ix35_4WD-Retail_Brisbane_Radio_97.3_Metropolitan_Radio,,4WDRetail_Brisbane_Radio_97.3,4WDRetail_Brisbane_Radio_97.3,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Brisbane:Radio,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2
Hyundai_ix35_4WD_Brisbane_Television_TVQ10_Metropolitan_Television,,4WD_Brisbane_Television_TVQ10,4WD_Brisbane_Television_TVQ10,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Brisbane:Television,0.5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
Hyundai_ix35_Santa_Fe_4WD-Retail_Brisbane_Television_GO_BRIS_Metropolitan_Television,,Santa_Fe_4WDRetail_Brisbane_Television_GO_BRIS,Santa_Fe_4WDRetail_Brisbane_Television_GO_BRIS,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Brisbane:Television,0.5,0,0,0,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai_ix35_4WD-Retail_Brisbane_Radio_NOVA_106.9_Metropolitan_Radio,,4WDRetail_Brisbane_Radio_NOVA_106.9,4WDRetail_Brisbane_Radio_NOVA_106.9,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Brisbane:Radio,0.5,0,0,0,0,0,0,0,4,7,4,4,3,0,0,2,4,5,5
Hyundai_ix35_4WD_Brisbane_Television_7Mate_BRIS_Metropolitan_Television,,4WD_Brisbane_Television_7Mate_BRIS,4WD_Brisbane_Television_7Mate_BRIS,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Brisbane:Television,0.5,0,0,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai_ix35_4WD-Retail_Brisbane_Television_BTQ7_Metropolitan_Television,,4WDRetail_Brisbane_Television_BTQ7,4WDRetail_Brisbane_Television_BTQ7,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Brisbane:Television,0.5,0,11,0,0,0,0,12,13,0,6,3,0,6,7,0,9,3,10
Hyundai_ix35_4WD_Brisbane_Radio_4BH_Metropolitan_Radio,,4WD_Brisbane_Radio_4BH,4WD_Brisbane_Radio_4BH,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Brisbane:Radio,0.5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1
Hyundai_ix35_4WD_Brisbane_Television_GO_BRIS_Metropolitan_Television,,4WD_Brisbane_Television_GO_BRIS,4WD_Brisbane_Television_GO_BRIS,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Brisbane:Television,0.5,0,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai_ix35_4WD-Retail_Brisbane_Television_GEM_BRIS_Metropolitan_Television,,4WDRetail_Brisbane_Television_GEM_BRIS,4WDRetail_Brisbane_Television_GEM_BRIS,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Brisbane:Television,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Hyundai_ix35_4WD-Retail_Brisbane_Television_7Mate_BRIS_Metropolitan_Television,,4WDRetail_Brisbane_Television_7Mate_BRIS,4WDRetail_Brisbane_Television_7Mate_BRIS,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Brisbane:Television,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Hyundai_ix35_4WD_Brisbane_Radio_4BC_Metropolitan_Radio,,4WD_Brisbane_Radio_4BC,4WD_Brisbane_Radio_4BC,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Brisbane:Radio,0.5,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,2,3
Hyundai_ix35_4WD-Retail_Brisbane_Radio_4MMM_Metropolitan_Radio,,4WDRetail_Brisbane_Radio_4MMM,4WDRetail_Brisbane_Radio_4MMM,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Brisbane:Radio,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Hyundai_ix35_4WD_Brisbane_Radio_97.3_Metropolitan_Radio,,4WD_Brisbane_Radio_97.3,4WD_Brisbane_Radio_97.3,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Brisbane:Radio,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai_ix35_Santa_Fe_4WD-Retail_Brisbane_Television_7Mate_BRIS_Metropolitan_Television,,Santa_Fe_4WDRetail_Brisbane_Television_7Mate_BRIS,Santa_Fe_4WDRetail_Brisbane_Television_7Mate_BRIS,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Brisbane:Television,0.5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai_ix35_4WD_Brisbane_Radio_NOVA_106.9_Metropolitan_Radio,,4WD_Brisbane_Radio_NOVA_106.9,4WD_Brisbane_Radio_NOVA_106.9,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Brisbane:Radio,0.5,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,0,0,0
Hyundai_ix35_Santa_Fe_4WD-Retail_Brisbane_Television_GEM_BRIS_Metropolitan_Television,,Santa_Fe_4WDRetail_Brisbane_Television_GEM_BRIS,Santa_Fe_4WDRetail_Brisbane_Television_GEM_BRIS,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Brisbane:Television,0.5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai_ix35_4WD-Retail_Brisbane_Television_GO_BRIS_Metropolitan_Television,,4WDRetail_Brisbane_Television_GO_BRIS,4WDRetail_Brisbane_Television_GO_BRIS,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Brisbane:Television,0.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Hyundai_ix35_4WD-Retail_Brisbane_Television_7TWO_BRIS_Metropolitan_Television,,4WDRetail_Brisbane_Television_7TWO_BRIS,4WDRetail_Brisbane_Television_7TWO_BRIS,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Brisbane:Television,0.5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Hyundai_ix35_4WD-Retail_Brisbane_Television_QTQ9_Metropolitan_Television,,4WDRetail_Brisbane_Television_QTQ9,4WDRetail_Brisbane_Television_QTQ9,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Brisbane:Television,0.5,0,2,0,0,0,0,15,17,0,4,9,0,10,5,0,4,5,14
Hyundai_ix35_4WD_Brisbane_Television_BTQ7_Metropolitan_Television,,4WD_Brisbane_Television_BTQ7,4WD_Brisbane_Television_BTQ7,Client Data:Competitor Sales and Marketing:All Marketing:XV Competitors:Hyundai_ix35:Brisbane:Television,0.5,0,0,12,36,55,24,0,0,7,0,0,0,3,10,23,62,0,0
