uniqueid,forecasting,tool tip,node name,Category,delta,08-2010,Monthly,,,,,,,,,,,,,,,,,,
Price_MITSUBISHI_ASX_2.0_ASPIRE_4WD_CVT,,2.0 ASPIRE 4WD CVT,2.0 ASPIRE 4WD CVT,Client Data:Competitor Price:XV Competitors:All Models:MITSUBISHI ASX ,0.5,36990,36990,36990,36990,36990,36990,36990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,34990,33490
Price_MITSUBISHI_ASX_2.0_CVT,,2.0 CVT,2.0 CVT,Client Data:Competitor Price:XV Competitors:All Models:MITSUBISHI ASX ,0.5,28490,28490,28490,28490,28490,28490,28490,28240,28240,28240,28240,28240,28240,28240,28240,28240,28240,28240,28240,26990
Price_MITSUBISHI_ASX_2.0,,Price_MITSUBISHI_ASX_2.0,Price_MITSUBISHI_ASX_2.0,Client Data:Competitor Price:XV Competitors:All Models:MITSUBISHI ASX ,0.5,25990,25990,25990,25990,25990,25990,25990,25990,25990,25990,25990,25990,25990,25990,25990,25990,25990,25990,25990,24990
Price_NISSAN_DUALIS_2.0_ST_XTRONIC_CVT,,2.0 ST XTRONIC CVT,2.0 ST XTRONIC CVT,Client Data:Competitor Price:XV Competitors:All Models:NISSAN DUALIS ,0.5,27490,27490,27490,27490,27490,27490,27490,27490,27490,27490,27490,27490,27490,27490,27490,28490,28490,28490,28490,28490
Price_NISSAN_DUALIS_2.0_ST,,2.0 ST,2.0 ST,Client Data:Competitor Price:XV Competitors:All Models:NISSAN DUALIS ,0.5,24990,24990,24990,24990,24990,24990,24990,24990,24990,24990,24990,24990,24990,24990,24990,25990,25990,25990,25990,25990
Price_SKODA_YETI_2.0_103TDI_4X4,,2.0 103TDI 4X4,2.0 103TDI 4X4,Client Data:Competitor Price:XV Competitors:All Models:SKODA YETI ,0.5,35690,35690,35690,35690,35690,35690,35690,35690,35690,35690,35690,35690,35690,35690,35690,35690,35690,35690,35690,35690
Price_SKODA_YETI_2.0_103TDI_4X4_DSG,,2.0 103TDI 4X4 DSG,2.0 103TDI 4X4 DSG,Client Data:Competitor Price:XV Competitors:All Models:SKODA YETI ,0.5,37990,37990,37990,37990,37990,37990,37990,37990,37990,37990,37990,37990,37990,37990,37990,37990,37990,37990,37990,37990
Price_SKODA_YETI_1.2_77TSI,,1.2 77TSI,1.2 77TSI,Client Data:Competitor Price:XV Competitors:All Models:SKODA YETI ,0.5,26290,26290,26290,26290,26290,26290,26290,26290,26290,26290,26290,26290,26290,26290,26290,26290,26290,26290,26290,26290
Price_SKODA_YETI_1.2_77TSI_DSG,,1.2 77TSI DSG,1.2 77TSI DSG,Client Data:Competitor Price:XV Competitors:All Models:SKODA YETI ,0.5,28590,28590,28590,28590,28590,28590,28590,28590,28590,28590,28590,28590,28590,28590,28590,28590,28590,28590,28590,28590
Price_SUBARU_XV_2.0I,,2.0I,2.0I,Client Data:Subaru Price:All Models: XV ,0.5,28490,28490,28490,28490,28490,28490,28490,28490,28490,28490,28490,28490,28490,28490,28490,28490,28490,28490,28490,28490
Price_SUBARU_XV_2.0I_LINEARTRONIC,,2.0I LINEARTRONIC,2.0I LINEARTRONIC,Client Data:Subaru Price:All Models: XV ,0.5,30990,30990,30990,30990,30990,30990,30990,30990,30990,30990,30990,30990,30990,30990,30990,30990,30990,30990,30990,30990
Price_SUBARU_XV_2.0I_L,,2.0I L,2.0I L,Client Data:Subaru Price:All Models: XV ,0.5,31990,31990,31990,31990,31990,31990,31990,31990,31990,31990,31990,31990,31990,31990,31990,31990,31990,31990,31990,31990
Price_SUBARU_XV_2.0I_L_LINEARTRONIC,,2.0I L LINEARTRONIC,2.0I L LINEARTRONIC,Client Data:Subaru Price:All Models: XV ,0.5,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490
Price_SUBARU_XV_2.0I_S,,2.0I S,2.0I S,Client Data:Subaru Price:All Models: XV ,0.5,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490
Price_SUBARU_XV_2.0I_S_LINEARTRONIC,,2.0I S LINEARTRONIC,2.0I S LINEARTRONIC,Client Data:Subaru Price:All Models: XV ,0.5,36990,36990,36990,36990,36990,36990,36990,36990,36990,36990,36990,36990,36990,36990,36990,36990,36990,36990,36990,36990
Price_SUBARU_XV_2.0i-S,,2.0i-S,2.0i-S,Client Data:Subaru Price:All Models: XV ,0.5,28490,28490,28490,28490,28490,28490,28490,28490,28490,28490,28490,28490,28490,28490,28490,28490,28490,28490,28490,28490
Price_SUBARU_XV_2.0i-L,,2.0i-L,2.0i-L,Client Data:Subaru Price:All Models: XV ,0.5,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34490
Price_SUBARU_XV_2.0i_CVT,,2.0i CVT,2.0i CVT,Client Data:Subaru Price:All Models: XV ,0.5,30490,30490,30490,30490,30490,30490,30490,30490,30490,30490,30490,30490,30490,30490,30490,30490,30490,30490,30490,30490
Price_VOLKSWAGEN_TIGUAN_2.0_103TDI_PACIFIC_DSG_BLUEMOTION_TECH,,2.0 103TDI PACIFIC DSG BLUEMOTION TECH,2.0 103TDI PACIFIC DSG BLUEMOTION TECH,Client Data:Competitor Price:XV Competitors:All Models:VOLKSWAGEN TIGUAN ,0.5,38490,38490,38490,38490,38490,38490,38490,38490,38490,38490,38490,38490,38490,38490,38490,38490,38490,38490,38490,38490
Price_VOLKSWAGEN_TIGUAN_2.0_155TSI_DSG,,2.0 155TSI DSG,2.0 155TSI DSG,Client Data:Competitor Price:XV Competitors:All Models:VOLKSWAGEN TIGUAN ,0.5,42990,42990,42990,42990,42990,42990,42990,42990,42990,42990,42990,42990,42990,42990,42990,42990,42990,42990,42990,42990
Price_VOLKSWAGEN_TIGUAN_2.0_132TSI_PACIFIC_DSG,,2.0 132TSI PACIFIC DSG,2.0 132TSI PACIFIC DSG,Client Data:Competitor Price:XV Competitors:All Models:VOLKSWAGEN TIGUAN ,0.5,35990,35990,35990,35990,35990,35990,35990,35990,35990,35990,35990,35990,35990,35990,35990,35990,35990,35990,35990,35990
Price_VOLKSWAGEN_TIGUAN_1.4_118TSI_BLUEMOTION_TECHNOLOGY,,1.4 118TSI BLUEMOTION TECHNOLOGY,1.4 118TSI BLUEMOTION TECHNOLOGY,Client Data:Competitor Price:XV Competitors:All Models:VOLKSWAGEN TIGUAN ,0.5,28490,28490,28490,28490,28490,28490,28490,28490,28490,28490,28490,28490,28490,28490,28490,28490,28490,28490,28490,28490
,,,,,,,,,,,,,,,,,,,,,,,,,
Price_FORD_TERRITORY_2.7_TDCI_TX_SSS,,2.7 TDCI TX SSS,2.7 TDCI TX SSS,Client Data:Competitor Price:Outback Competitors:All Models:FORD TERRITORY ,0.5,43240,43240,43240,43240,43240,43240,43240,43240,43240,43240,43240,43240,43240,43240,43240,43240,43240,43240,43240,43240
Price_FORD_TERRITORY_2.7_TDCI_TX_AWD_SSS,,2.7 TDCI TX AWD SSS,2.7 TDCI TX AWD SSS,Client Data:Competitor Price:Outback Competitors:All Models:FORD TERRITORY ,0.5,48240,48240,48240,48240,48240,48240,48240,48240,48240,48240,48240,48240,48240,48240,48240,48240,48240,48240,48240,48240
Price_FORD_TERRITORY_2.7_TDCI_TS_SSS,,2.7 TDCI TS SSS,2.7 TDCI TS SSS,Client Data:Competitor Price:Outback Competitors:All Models:FORD TERRITORY ,0.5,50240,50240,50240,50240,50240,50240,50240,50240,50240,50240,50240,50240,50240,50240,50240,50240,50240,50240,50240,50240
Price_FORD_TERRITORY_2.7_TDCI_TS_AWD_SSS,,2.7 TDCI TS AWD SSS,2.7 TDCI TS AWD SSS,Client Data:Competitor Price:Outback Competitors:All Models:FORD TERRITORY ,0.5,55240,55240,55240,55240,55240,55240,55240,55240,55240,55240,55240,55240,55240,55240,55240,55240,55240,55240,55240,55240
Price_FORD_TERRITORY_2.7_TDCI_TITANIUM_SSS,,2.7 TDCI TITANIUM SSS,2.7 TDCI TITANIUM SSS,Client Data:Competitor Price:Outback Competitors:All Models:FORD TERRITORY ,0.5,58240,58240,58240,58240,58240,58240,58240,58240,58240,58240,58240,58240,58240,58240,58240,58240,58240,58240,58060,58060
Price_FORD_TERRITORY_2.7_TDCI_TITANIUM_AWD_SSS,,2.7 TDCI TITANIUM AWD SSS,2.7 TDCI TITANIUM AWD SSS,Client Data:Competitor Price:Outback Competitors:All Models:FORD TERRITORY ,0.5,63240,63240,63240,63240,63240,63240,63240,63240,63240,63240,63240,63240,63240,63240,63240,63240,63240,63240,62740,62740
Price_FORD_TERRITORY_4.0_TS_SSS,,4.0 TS SSS,4.0 TS SSS,Client Data:Competitor Price:Outback Competitors:All Models:FORD TERRITORY ,0.5,46990,46990,46990,46990,46990,46990,46990,46990,46990,46990,46990,46990,46990,46990,46990,46990,46990,46990,46990,46990
Price_FORD_TERRITORY_4.0_TITANIUM_SSS,,4.0 TITANIUM SSS,4.0 TITANIUM SSS,Client Data:Competitor Price:Outback Competitors:All Models:FORD TERRITORY ,0.5,54990,54990,54990,54990,54990,54990,54990,54990,54990,54990,54990,54990,54990,54990,54990,54990,54990,54990,54990,54990
Price_FORD_TERRITORY_4.0_TX_SSS,,4.0 TX SSS,4.0 TX SSS,Client Data:Competitor Price:Outback Competitors:All Models:FORD TERRITORY ,0.5,39990,39990,39990,39990,39990,39990,39990,39990,39990,39990,39990,39990,39990,39990,39990,39990,39990,39990,39990,39990
Price_HYUNDAI_SANTA_FE_2.2_CRDI_HIGHLANDER_4WD_AUTO,,2.2 CRDI HIGHLANDER 4WD AUTO,2.2 CRDI HIGHLANDER 4WD AUTO,Client Data:Competitor Price:Outback Competitors:All Models:HYUNDAI SANTA FE ,0.5,48490,48490,48490,48490,48490,48490,48490,49990,49990,49990,49990,49990,49990,49990,49990,49990,50490,50490,50490,50490
Price_HYUNDAI_SANTA_FE_2.2_CRDI_ELITE_4WD_AUTO,,2.2 CRDI ELITE 4WD AUTO,2.2 CRDI ELITE 4WD AUTO,Client Data:Competitor Price:Outback Competitors:All Models:HYUNDAI SANTA FE ,0.5,43990,43990,43990,43990,43990,43990,43990,45990,45990,45990,45990,45990,45990,45990,45990,45990,46490,46490,46490,46490
Price_HYUNDAI_SANTA_FE_2.2_CRDI_ACTIVE_4WD_AUTO,,2.2 CRDI ACTIVE 4WD AUTO,2.2 CRDI ACTIVE 4WD AUTO,Client Data:Competitor Price:Outback Competitors:All Models:HYUNDAI SANTA FE ,0.5,39990,39990,39990,39990,39990,39990,39990,41990,41990,41990,41990,41990,41990,41990,41990,41990,42490,42490,42490,42490
Price_HYUNDAI_SANTA_FE_2.2_CRDI_ACTIVE_4WD,,2.2 CRDI ACTIVE 4WD,2.2 CRDI ACTIVE 4WD,Client Data:Competitor Price:Outback Competitors:All Models:HYUNDAI SANTA FE ,0.5,37990,37990,37990,37990,37990,37990,37990,39990,39990,39990,39990,39990,39990,39990,39990,39990,39990,39990,39990,39990
Price_HOLDEN_CAPTIVA_7_2.2_T/DIESEL_SX_AUTO,,2.2 T/DIESEL SX AUTO,2.2 T/DIESEL SX AUTO,Client Data:Competitor Price:Outback Competitors:All Models:HOLDEN CAPTIVA 7 ,0.5,35490,35490,35490,35490,35490,35490,35490,35490,35490,35490,35490,35490,35490,35490,35490,35490,35490,35490,35490,35490
Price_HOLDEN_CAPTIVA_7_2.2_T/DIESEL_CX_AUTO_4WD,,2.2 T/DIESEL CX AUTO 4WD,2.2 T/DIESEL CX AUTO 4WD,Client Data:Competitor Price:Outback Competitors:All Models:HOLDEN CAPTIVA 7 ,0.5,39490,39490,39490,39490,39490,39490,39490,39490,39490,39490,39490,39490,39490,39490,39490,39490,39490,39490,39490,39490
Price_HOLDEN_CAPTIVA_7_2.2_T/DIESEL_LX_AUTO_4WD,,2.2 T/DIESEL LX AUTO 4WD,2.2 T/DIESEL LX AUTO 4WD,Client Data:Competitor Price:Outback Competitors:All Models:HOLDEN CAPTIVA 7 ,0.5,43490,43490,43490,43490,43490,43490,43490,43490,43490,43490,43490,43490,43490,43490,43490,43490,43490,43490,43490,43490
Price_HOLDEN_CAPTIVA_7_2.4_SX_AUTO,,2.4 SX AUTO,2.4 SX AUTO,Client Data:Competitor Price:Outback Competitors:All Models:HOLDEN CAPTIVA 7 ,0.5,32490,32490,32490,32490,32490,32490,32490,32490,32490,32490,32490,32490,32490,32490,32490,32490,32490,32490,32490,32490
Price_HOLDEN_CAPTIVA_7_3.0_CX_AUTO_4WD,,3.0 CX AUTO 4WD,3.0 CX AUTO 4WD,Client Data:Competitor Price:Outback Competitors:All Models:HOLDEN CAPTIVA 7 ,0.5,38490,38490,38490,38490,38490,38490,38490,38490,38490,38490,38490,38490,38490,38490,38490,38490,38490,38490,38490,38490
Price_HOLDEN_CAPTIVA_7_3.0_LX_AUTO_4WD,,3.0 LX AUTO 4WD,3.0 LX AUTO 4WD,Client Data:Competitor Price:Outback Competitors:All Models:HOLDEN CAPTIVA 7 ,0.5,42490,42490,42490,42490,42490,42490,42490,42490,42490,42490,42490,42490,42490,42490,42490,42490,42490,42490,42490,42490
Price_JEEP_GRAND_CHEROKEE_3.0_CRD_OVERLAND_AUTO,,3.0 CRD OVERLAND AUTO,3.0 CRD OVERLAND AUTO,Client Data:Competitor Price:Outback Competitors:All Models:JEEP GRAND CHEROKEE ,0.5,69500,69500,69500,69500,69500,69500,69500,69500,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,71000,71000
Price_JEEP_GRAND_CHEROKEE_3.0_CRD_LAREDO_AUTO,,3.0 CRD LAREDO AUTO,3.0 CRD LAREDO AUTO,Client Data:Competitor Price:Outback Competitors:All Models:JEEP GRAND CHEROKEE ,0.5,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,51000,51000
Price_JEEP_GRAND_CHEROKEE_3.0_CRD_LIMITED_AUTO,,3.0 CRD LIMITED AUTO,3.0 CRD LIMITED AUTO,Client Data:Competitor Price:Outback Competitors:All Models:JEEP GRAND CHEROKEE ,0.5,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,61000,61000
Price_JEEP_GRAND_CHEROKEE_5.7_OVERLAND_AUTO,,5.7 OVERLAND AUTO,5.7 OVERLAND AUTO,Client Data:Competitor Price:Outback Competitors:All Models:JEEP GRAND CHEROKEE ,0.5,69500,69500,69500,69500,69500,69500,69500,69500,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,71000,71000
Price_JEEP_GRAND_CHEROKEE_5.7_LIMITED_AUTO,,5.7 LIMITED AUTO,5.7 LIMITED AUTO,Client Data:Competitor Price:Outback Competitors:All Models:JEEP GRAND CHEROKEE ,0.5,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,61000,61000
Price_JEEP_GRAND_CHEROKEE_3.6_LIMITED_AUTO,,3.6 LIMITED AUTO,3.6 LIMITED AUTO,Client Data:Competitor Price:Outback Competitors:All Models:JEEP GRAND CHEROKEE ,0.5,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,56000,56000
Price_JEEP_GRAND_CHEROKEE_3.6_LAREDO_AUTO,,3.6 LAREDO AUTO,3.6 LAREDO AUTO,Client Data:Competitor Price:Outback Competitors:All Models:JEEP GRAND CHEROKEE ,0.5,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,46000,46000
Price_KIA_SORENTO_2.2_CRDI_PLATINUM_4WD_AUTO,,2.2 CRDI PLATINUM 4WD AUTO,2.2 CRDI PLATINUM 4WD AUTO,Client Data:Competitor Price:Outback Competitors:All Models:KIA SORENTO ,0.5,49190,49190,50180,50180,50180,50180,50180,50180,50180,50390,50390,50390,50390,50390,50390,50390,50390,50390,50790,50790
Price_KIA_SORENTO_2.2_CRDI_SI_4WD,,2.2 CRDI SI 4WD,2.2 CRDI SI 4WD,Client Data:Competitor Price:Outback Competitors:All Models:KIA SORENTO ,0.5,39990,39990,39990,39990,39990,39990,39990,39990,39990,38990,38990,38990,38990,38990,38990,38990,38990,38990,39990,39990
Price_KIA_SORENTO_2.2_CRDI_SLI_4WD_AUTO,,2.2 CRDI SLI 4WD AUTO,2.2 CRDI SLI 4WD AUTO,Client Data:Competitor Price:Outback Competitors:All Models:KIA SORENTO ,0.5,46190,46190,46190,46190,46190,46190,46190,46190,46190,43990,43990,43990,43990,43990,43990,43990,43990,43990,44490,44490
Price_KIA_SORENTO_2.2_CRDI_SI_4WD_AUTO,,2.2 CRDI SI 4WD AUTO,2.2 CRDI SI 4WD AUTO,Client Data:Competitor Price:Outback Competitors:All Models:KIA SORENTO ,0.5,41990,41990,41990,41990,41990,41990,41990,41990,41990,40990,40990,40990,40990,40990,40990,40990,40990,40990,41990,41990
Price_KIA_SORENTO_3.5_V6_SI_AUTO,,3.5 V6 SI AUTO,3.5 V6 SI AUTO,Client Data:Competitor Price:Outback Competitors:All Models:KIA SORENTO ,0.5,36990,36990,36990,36990,36990,36990,36990,36990,36990,37490,37490,37490,37490,37490,37490,37490,37490,37490,38490,38490
Price_MAZDA_CX-9_3.7_GRAND_TOURING_4WD_AUTO,,3.7 GRAND TOURING 4WD AUTO,3.7 GRAND TOURING 4WD AUTO,Client Data:Competitor Price:Outback Competitors:All Models:MAZDA CX-9 ,0.5,62106,62106,62106,62106,62106,62106,62106,62106,62106,62106,62106,63828,63828,63828,63828,63828,63828,63828,63474,63474
Price_MAZDA_CX-9_3.7_LUXURY_4WD_AUTO,,3.7 LUXURY 4WD AUTO,3.7 LUXURY 4WD AUTO,Client Data:Competitor Price:Outback Competitors:All Models:MAZDA CX-9 ,0.5,56225,56225,56225,56225,56225,56225,56225,56225,56225,56225,56225,57480,57480,57480,57480,57480,57480,57480,57480,57480
Price_MAZDA_CX-9_3.7_CLASSIC_FWD_AUTO,,3.7 CLASSIC FWD AUTO,3.7 CLASSIC FWD AUTO,Client Data:Competitor Price:Outback Competitors:All Models:MAZDA CX-9 ,0.5,44425,44425,44425,44425,44425,44425,44425,44425,44425,44425,44425,44525,44525,44525,44525,44525,44525,44525,44525,44525
Price_MAZDA_CX-9_3.7_LUXURY_FWD_AUTO,,3.7 LUXURY FWD AUTO,3.7 LUXURY FWD AUTO,Client Data:Competitor Price:Outback Competitors:All Models:MAZDA CX-9 ,0.5,51725,51725,51725,51725,51725,51725,51725,51725,51725,51725,51725,52980,52980,52980,52980,52980,52980,52980,52980,52980
Price_NISSAN_MURANO_3.5_TI_XTRONIC_CVT,,3.5 TI XTRONIC CVT,3.5 TI XTRONIC CVT,Client Data:Competitor Price:Outback Competitors:All Models:NISSAN MURANO ,0.5,58390,58390,58390,58390,58390,58390,58390,58390,58390,58390,58690,58690,58690,58690,58690,58690,58690,58690,58690,58690
Price_NISSAN_MURANO_3.5_ST_XTRONIC_CVT,,3.5 ST XTRONIC CVT,3.5 ST XTRONIC CVT,Client Data:Competitor Price:Outback Competitors:All Models:NISSAN MURANO ,0.5,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,48290,48290,48290,48290,48290,48290,48290,48290,48290,48790
Price_NISSAN_PATHFINDER_3.5_TI_4X4_CVT,,3.5 TI 4X4 CVT,3.5 TI 4X4 CVT,Client Data:Competitor Price:Outback Competitors:All Models:NISSAN PATHFINDER ,0.5,65990,65990,65990,65990,65990,65990,65990,65990,65990,65990,66390,66390,66390,66390,66390,66390,66390,66390,66390,66390
Price_NISSAN_PATHFINDER_3.5_ST_4X4_CVT,,3.5 ST 4X4 CVT,3.5 ST 4X4 CVT,Client Data:Competitor Price:Outback Competitors:All Models:NISSAN PATHFINDER ,0.5,51490,51490,51490,51490,51490,51490,51490,51490,51490,51490,51890,51890,51890,51890,51890,51890,51890,51890,51890,51890
Price_SUBARU_OUTBACK_2.0D_PREMIUM,,2.0D PREMIUM,2.0D PREMIUM,Client Data:Subaru Price:All Models: OUTBACK ,0.5,46990,46990,46990,46990,46990,46990,46990,46990,46990,46990,46990,42990,42990,42990,42990,42990,42990,42990,42990,42990
Price_SUBARU_OUTBACK_2.0D,,2.0D,2.0D,Client Data:Subaru Price:All Models: OUTBACK ,0.5,41990,41990,41990,41990,41990,41990,41990,41990,41990,41990,41990,41990,41990,41990,41990,41990,41990,41990,41990,41990
Price_SUBARU_OUTBACK_2.0D_PREMIUM_SAT_NAV,,2.0D PREMIUM SAT NAV,2.0D PREMIUM SAT NAV,Client Data:Subaru Price:All Models: OUTBACK ,0.5,46990,46990,46990,46990,46990,46990,46990,46990,46990,46990,46990,46990,46990,46990,46990,46990,46990,46990,46990,46990
Price_SUBARU_OUTBACK_3.6R_PREMIUM_SPORTSHIFT,,3.6R PREMIUM SPORTSHIFT,3.6R PREMIUM SPORTSHIFT,Client Data:Subaru Price:All Models: OUTBACK ,0.5,57490,57490,57490,57490,57490,57490,57490,57490,57490,57490,57490,57490,57490,57490,57490,57490,57490,57490,57490,57490
Price_SUBARU_OUTBACK_2.5I_CVT,,2.5I CVT,2.5I CVT,Client Data:Subaru Price:All Models: OUTBACK ,0.5,39490,39490,39490,39490,39490,39490,39490,39490,39490,39490,39490,38490,38490,38490,38490,38490,38490,38490,38490,38490
Price_SUBARU_OUTBACK_2.5I_PREMIUM_CVT,,2.5I PREMIUM CVT,2.5I PREMIUM CVT,Client Data:Subaru Price:All Models: OUTBACK ,0.5,44990,44990,44990,44990,44990,44990,44990,44990,44990,44990,44990,42990,42990,42990,42990,42990,42990,42990,42990,42990
Price_SUBARU_OUTBACK_3.6R_PREMIUM_SAT_NAV_SPORTSHIFT,,3.6R PREMIUM SAT NAV SPORTSHIFT,3.6R PREMIUM SAT NAV SPORTSHIFT,Client Data:Subaru Price:All Models: OUTBACK ,0.5,57490,57490,57490,57490,57490,57490,57490,57490,57490,57490,57490,57490,57490,57490,57490,57490,57490,57490,57490,57490
Price_SUBARU_OUTBACK_3.6R_SPORTSHIFT,,3.6R SPORTSHIFT,3.6R SPORTSHIFT,Client Data:Subaru Price:All Models: OUTBACK ,0.5,49490,49490,49490,49490,49490,49490,49490,49490,49490,49490,49490,49490,49490,49490,49490,49490,49490,49490,49490,49490
Price_TOYOTA_KLUGER_3.5_GRANDE_7_SEAT_AUTO,,3.5 GRANDE 7 SEAT AUTO,3.5 GRANDE 7 SEAT AUTO,Client Data:Competitor Price:Outback Competitors:All Models:TOYOTA KLUGER ,0.5,60990,60990,60990,60990,60990,60990,60490,60490,60490,60490,60490,60490,60490,60490,60490,60990,60990,60990,60635,60635
Price_TOYOTA_KLUGER_3.5_KX-S_7_SEAT_AUTO,,3.5 KX-S 7 SEAT AUTO,3.5 KX-S 7 SEAT AUTO,Client Data:Competitor Price:Outback Competitors:All Models:TOYOTA KLUGER ,0.5,50990,50990,50990,50990,50990,50990,50990,50990,50990,50990,50990,50990,50990,50990,50990,51490,51490,51490,51490,51490
Price_TOYOTA_KLUGER_3.5_KX-R_7_SEAT_AUTO,,3.5 KX-R 7 SEAT AUTO,3.5 KX-R 7 SEAT AUTO,Client Data:Competitor Price:Outback Competitors:All Models:TOYOTA KLUGER ,0.5,42690,42690,42690,42690,42690,42690,42690,42690,42690,42690,42690,42690,42690,42690,42690,43190,43190,43190,43190,43190
Price_TOYOTA_KLUGER_3.5_KX-R_5_SEAT_AUTO,,3.5 KX-R 5 SEAT AUTO,3.5 KX-R 5 SEAT AUTO,Client Data:Competitor Price:Outback Competitors:All Models:TOYOTA KLUGER ,0.5,39990,39990,39990,39990,39990,39990,39990,39990,39990,39990,39990,39990,39990,39990,39990,40490,40490,40490,40490,40490
